"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 19:43:07 GMT 2021","Tue Aug 10 19:43:13 GMT 2021","5215","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"broken","Tue Aug 10 19:44:16 GMT 2021","Tue Aug 10 19:44:26 GMT 2021","10603","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"broken","Tue Aug 10 19:43:30 GMT 2021","Tue Aug 10 19:43:34 GMT 2021","3378","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Tue Aug 10 19:43:20 GMT 2021","Tue Aug 10 19:43:28 GMT 2021","8258","test_conduit","test_conduit","TestConduit","","","test_sign_in",""
"broken","Tue Aug 10 19:43:36 GMT 2021","Tue Aug 10 19:43:47 GMT 2021","10490","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Tue Aug 10 19:44:47 GMT 2021","Tue Aug 10 19:44:57 GMT 2021","10602","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"broken","Tue Aug 10 19:44:59 GMT 2021","Tue Aug 10 19:45:09 GMT 2021","10601","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Tue Aug 10 19:43:49 GMT 2021","Tue Aug 10 19:44:00 GMT 2021","10599","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"broken","Tue Aug 10 19:44:29 GMT 2021","Tue Aug 10 19:44:44 GMT 2021","15610","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Tue Aug 10 19:44:02 GMT 2021","Tue Aug 10 19:44:13 GMT 2021","10598","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Tue Aug 10 19:43:14 GMT 2021","Tue Aug 10 19:43:17 GMT 2021","3197","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
