"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 21:16:33 GMT 2021","Sun Aug 22 21:16:34 GMT 2021","1036","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Sun Aug 22 21:16:10 GMT 2021","Sun Aug 22 21:16:11 GMT 2021","1026","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 22 21:17:24 GMT 2021","Sun Aug 22 21:17:28 GMT 2021","3982","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Aug 22 21:16:12 GMT 2021","Sun Aug 22 21:16:13 GMT 2021","1050","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 22 21:16:21 GMT 2021","Sun Aug 22 21:16:24 GMT 2021","3308","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Sun Aug 22 21:16:56 GMT 2021","Sun Aug 22 21:17:11 GMT 2021","15547","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Sun Aug 22 21:16:16 GMT 2021","Sun Aug 22 21:16:18 GMT 2021","2609","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sun Aug 22 21:16:27 GMT 2021","Sun Aug 22 21:16:30 GMT 2021","2922","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 22 21:17:17 GMT 2021","Sun Aug 22 21:17:22 GMT 2021","5133","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"passed","Sun Aug 22 21:16:46 GMT 2021","Sun Aug 22 21:16:53 GMT 2021","6960","test_conduit","test_conduit","TestConduit","","","test_pages",""
"passed","Sun Aug 22 21:16:36 GMT 2021","Sun Aug 22 21:16:45 GMT 2021","8322","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Sun Aug 22 21:17:13 GMT 2021","Sun Aug 22 21:17:15 GMT 2021","1900","test_conduit","test_conduit","TestConduit","","","test_save_data",""
