"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 13:54:07 GMT 2021","Fri Aug 13 13:54:11 GMT 2021","3373","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 13:54:18 GMT 2021","Fri Aug 13 13:54:19 GMT 2021","930","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 13:54:02 GMT 2021","Fri Aug 13 13:54:06 GMT 2021","3312","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Fri Aug 13 13:53:56 GMT 2021","Fri Aug 13 13:53:57 GMT 2021","1044","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Fri Aug 13 13:55:07 GMT 2021","Fri Aug 13 13:55:11 GMT 2021","4053","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Fri Aug 13 13:54:33 GMT 2021","Fri Aug 13 13:54:33 GMT 2021","914","test_conduit","test_conduit","TestConduit","","","test_pages",""
"passed","Fri Aug 13 13:53:59 GMT 2021","Fri Aug 13 13:54:00 GMT 2021","1073","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Fri Aug 13 13:54:13 GMT 2021","Fri Aug 13 13:54:16 GMT 2021","2984","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 13:54:21 GMT 2021","Fri Aug 13 13:54:30 GMT 2021","8579","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Fri Aug 13 13:54:36 GMT 2021","Fri Aug 13 13:54:52 GMT 2021","15585","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Fri Aug 13 13:54:59 GMT 2021","Fri Aug 13 13:55:04 GMT 2021","5265","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"passed","Fri Aug 13 13:54:54 GMT 2021","Fri Aug 13 13:54:56 GMT 2021","1939","test_conduit","test_conduit","TestConduit","","","test_save_data",""
