"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:29:37 GMT 2021","Thu Aug 12 20:29:44 GMT 2021","6927","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Aug 12 20:29:49 GMT 2021","Thu Aug 12 20:30:00 GMT 2021","10462","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Thu Aug 12 20:29:08 GMT 2021","Thu Aug 12 20:29:13 GMT 2021","5215","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 12 20:29:21 GMT 2021","Thu Aug 12 20:29:29 GMT 2021","7942","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Aug 12 20:29:15 GMT 2021","Thu Aug 12 20:29:18 GMT 2021","3170","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Aug 12 20:30:54 GMT 2021","Thu Aug 12 20:31:06 GMT 2021","12148","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Aug 12 20:29:31 GMT 2021","Thu Aug 12 20:29:35 GMT 2021","3395","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Thu Aug 12 20:30:09 GMT 2021","Thu Aug 12 20:30:27 GMT 2021","18571","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Thu Aug 12 20:30:02 GMT 2021","Thu Aug 12 20:30:06 GMT 2021","3996","test_conduit","test_conduit","TestConduit","","","test_pages",""
"passed","Thu Aug 12 20:29:46 GMT 2021","Thu Aug 12 20:29:47 GMT 2021","1063","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 20:30:30 GMT 2021","Thu Aug 12 20:30:39 GMT 2021","8966","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Aug 12 20:30:41 GMT 2021","Thu Aug 12 20:30:52 GMT 2021","11208","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
