"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 17:48:15 GMT 2021","Thu Aug 12 17:48:19 GMT 2021","3471","test_conduit","test_conduit","TestConduit","","","test_login",""
"failed","Thu Aug 12 17:48:34 GMT 2021","Thu Aug 12 17:48:44 GMT 2021","10599","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Thu Aug 12 17:48:30 GMT 2021","Thu Aug 12 17:48:31 GMT 2021","1208","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 17:49:07 GMT 2021","Thu Aug 12 17:49:16 GMT 2021","9089","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Aug 12 17:49:31 GMT 2021","Thu Aug 12 17:49:44 GMT 2021","12270","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Aug 12 17:49:19 GMT 2021","Thu Aug 12 17:49:30 GMT 2021","10849","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"passed","Thu Aug 12 17:48:47 GMT 2021","Thu Aug 12 17:49:06 GMT 2021","18635","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Thu Aug 12 17:48:20 GMT 2021","Thu Aug 12 17:48:27 GMT 2021","7009","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Aug 12 17:48:04 GMT 2021","Thu Aug 12 17:48:13 GMT 2021","8384","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Aug 12 17:47:58 GMT 2021","Thu Aug 12 17:48:01 GMT 2021","3182","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Aug 12 17:47:51 GMT 2021","Thu Aug 12 17:47:57 GMT 2021","5183","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
